
410611	410600	3	district	淇滨区	410000,410600,410611	河南省,鹤壁市,淇滨区	河南省	鹤壁市	淇滨区	114.293917	35.748382
410200	410000	2	city	开封市	410000,410200	河南省,开封市	河南省	开封市		114.341447	34.797049
410203	410200	3	district	顺河回族区	410000,410200,410203	河南省,开封市,顺河回族区	河南省	开封市	顺河回族区	114.364875	34.800459
410202	410200	3	district	龙亭区	410000,410200,410202	河南省,开封市,龙亭区	河南省	开封市	龙亭区	114.353348	34.799833
410225	410200	3	district	兰考县	410000,410200,410225	河南省,开封市,兰考县	河南省	开封市	兰考县	114.820572	34.829899
410221	410200	3	district	杞县	410000,410200,410221	河南省,开封市,杞县	河南省	开封市	杞县	114.770472	34.554585
410222	410200	3	district	通许县	410000,410200,410222	河南省,开封市,通许县	河南省	开封市	通许县	114.467734	34.477302
410223	410200	3	district	尉氏县	410000,410200,410223	河南省,开封市,尉氏县	河南省	开封市	尉氏县	114.193927	34.412256
410205	410200	3	district	禹王台区	410000,410200,410205	河南省,开封市,禹王台区	河南省	开封市	禹王台区	114.350246	34.779727
410212	410200	3	district	祥符区	410000,410200,410212	河南省,开封市,祥符区	河南省	开封市	祥符区	114.437622	34.756476
410204	410200	3	district	鼓楼区	410000,410200,410204	河南省,开封市,鼓楼区	河南省	开封市	鼓楼区	114.3485	34.792383
440000	100000	1	province	广东省	440000	广东省	广东省			113.280637	23.125178
440500	440000	2	city	汕头市	440000,440500	广东省,汕头市	广东省	汕头市		116.708463	23.37102
440523	440500	3	district	南澳县	440000,440500,440523	广东省,汕头市,南澳县	广东省	汕头市	南澳县	117.027105	23.419562
440513	440500	3	district	潮阳区	440000,440500,440513	广东省,汕头市,潮阳区	广东省	汕头市	潮阳区	116.602602	23.262336
440515	440500	3	district	澄海区	440000,440500,440515	广东省,汕头市,澄海区	广东省	汕头市	澄海区	116.76336	23.46844
440512	440500	3	district	濠江区	440000,440500,440512	广东省,汕头市,濠江区	广东省	汕头市	濠江区	116.729528	23.279345
